epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8734,1.17522,2.75942,1.42703,1,0.14208,0.6511,0.39836,1.16064,2.56732,1.57007,0.000543038,0.000543038,0.000543038
2,13.1831,1.29134,2.11627,1.52657,0.36938,0.42614,0.43893,0.24077,1.74878,2.29876,2.41614,0.00108783,0.00108783,0.00108783
3,19.6233,1.37584,2.06196,1.57369,0.48836,0.5469,0.46668,0.21963,2.08812,2.40039,2.6248,0.00162161,0.00162161,0.00162161
4,26.4596,1.46251,2.04011,1.65292,0.10666,0.22778,0.05379,0.02189,3.85824,4.50418,3.61498,0.00161749,0.00161749,0.00161749
5,33.2434,1.49205,1.93437,1.62472,0.19086,0.42038,0.25784,0.10478,2.0793,4.08033,2.57154,0.00160099,0.00160099,0.00160099
6,39.8579,1.41083,1.77061,1.56381,0.38536,0.60227,0.43496,0.21506,1.69995,3.22607,2.22186,0.00158448,0.00158448,0.00158448
7,46.704,1.42694,1.7386,1.59576,0.44475,0.56818,0.50911,0.26969,1.61583,2.2471,2.44323,0.00156798,0.00156798,0.00156798
8,53.381,1.39977,1.61656,1.55887,0.61048,0.60451,0.61486,0.36036,1.5558,2.14234,2.09834,0.00155148,0.00155148,0.00155148
9,60.4977,1.42331,1.63823,1.59322,0.74744,0.57616,0.61425,0.31692,1.79182,2.81857,2.31558,0.00153497,0.00153497,0.00153497
10,68.4659,1.39432,1.60009,1.55893,0.62181,0.44318,0.58861,0.31115,1.99576,1.63946,2.74995,0.00151847,0.00151847,0.00151847
11,75.3349,1.38946,1.54576,1.58242,0.66589,0.6637,0.65587,0.36504,1.85412,1.98474,2.33002,0.00150197,0.00150197,0.00150197
12,82.2967,1.31939,1.45318,1.49488,0.73214,0.56818,0.60639,0.32862,2.20833,2.66676,2.66646,0.00148546,0.00148546,0.00148546
13,87.3503,1.34078,1.42741,1.52212,0.79967,0.65613,0.71151,0.48136,1.34396,1.66962,1.8433,0.00146896,0.00146896,0.00146896
