epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91051,1.09717,2.76154,1.37758,0.00483,1,0.6746,0.42649,0.84663,2.5895,1.16851,0.000542114,0.000542114,0.000542114
2,11.0502,1.27135,2.0852,1.52332,0.48382,0.43988,0.40325,0.22254,1.41226,2.22033,1.88878,0.00108691,0.00108691,0.00108691
3,15.6374,1.32284,2.08354,1.53704,0.76111,0.33504,0.41586,0.22412,1.32027,2.09314,1.76089,0.00162071,0.00162071,0.00162071
4,20.8914,1.42666,2.06746,1.5981,0.16867,0.19062,0.12026,0.03343,2.64025,5.80189,3.40306,0.00161749,0.00161749,0.00161749
5,27.4165,1.39304,1.90481,1.56512,0.45723,0.5044,0.4669,0.22882,1.63282,2.05666,1.92874,0.00160099,0.00160099,0.00160099
6,33.8248,1.3727,1.82207,1.51791,0.45035,0.46608,0.46925,0.19874,1.46879,2.4446,1.83001,0.00158448,0.00158448,0.00158448
7,39.7036,1.37219,1.77814,1.57636,0.67892,0.46921,0.53534,0.28178,1.57775,2.19739,1.89673,0.00156798,0.00156798,0.00156798
8,44.311,1.37099,1.73105,1.55194,0.44227,0.69962,0.53673,0.28015,1.43456,1.93714,1.62856,0.00155148,0.00155148,0.00155148
9,49.6553,1.43414,1.73463,1.58337,0.38782,0.45308,0.3233,0.15269,2.00608,2.50161,2.19262,0.00153497,0.00153497,0.00153497
10,55.3378,1.35878,1.62086,1.5323,0.35403,0.46921,0.40357,0.19076,1.84632,2.75114,1.94461,0.00151847,0.00151847,0.00151847
11,59.4902,1.40265,1.58747,1.54693,0.71598,0.52346,0.6533,0.3602,1.44748,1.37175,1.68812,0.00150197,0.00150197,0.00150197
12,63.8096,1.36822,1.56724,1.56262,0.4056,0.4912,0.45735,0.23152,1.5501,1.87951,1.73535,0.00148546,0.00148546,0.00148546
13,68.7729,1.31546,1.43395,1.48704,0.74238,0.72434,0.72217,0.3943,1.33133,1.41318,1.58785,0.00146896,0.00146896,0.00146896
14,75.0591,1.2505,1.32164,1.44256,0.76234,0.67889,0.7459,0.42305,1.30372,1.14813,1.56915,0.00145246,0.00145246,0.00145246
15,80.6302,1.26562,1.26184,1.4438,0.6026,0.58504,0.58847,0.29708,1.63414,1.71996,1.89335,0.00143595,0.00143595,0.00143595
16,85.8782,1.26906,1.30981,1.46493,0.78828,0.62757,0.77479,0.35653,1.53303,1.38514,1.7442,0.00141945,0.00141945,0.00141945
17,91.3045,1.23118,1.24864,1.44105,0.87164,0.71136,0.81098,0.50279,1.15185,1.04091,1.43652,0.00140295,0.00140295,0.00140295
18,96.442,1.2145,1.26958,1.42136,0.90151,0.75667,0.88252,0.51533,1.14641,1.11471,1.39747,0.00138644,0.00138644,0.00138644
