epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7763,1.10592,2.80937,1.37026,0.00379,0.91327,0.64473,0.35643,1.19611,2.86145,1.61195,0.000540649,0.000540649,0.000540649
2,31.7697,1.26406,2.1099,1.47639,0.59411,0.38504,0.35595,0.15508,1.4922,2.39738,1.973,0.00108546,0.00108546,0.00108546
3,38.1473,1.32869,2.08937,1.54716,0.34442,0.53431,0.32078,0.1402,1.69227,3.31813,2.16444,0.00161927,0.00161927,0.00161927
