epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33104,1.16008,2.78148,1.38508,0.4336,0.61905,0.56507,0.32773,1.1685,2.71914,1.43601,0.000542437,0.000542437,0.000542437
2,13.9115,1.24314,2.00481,1.46995,0.46864,0.54425,0.52154,0.21655,1.63972,2.1946,1.97496,0.00109267,0.00109267,0.00109267
3,18.7199,1.38816,2.0995,1.59571,0.32986,0.34407,0.30645,0.15566,1.72901,2.70399,2.00828,0.0016374,0.0016374,0.0016374
4,23.7281,1.37804,1.99742,1.57039,0.51894,0.34955,0.33226,0.18905,1.51196,2.72228,1.80393,0.00164225,0.00164225,0.00164225
5,28.5863,1.49642,1.96609,1.65791,0.34853,0.44062,0.31983,0.11959,2.07213,2.78895,2.19841,0.00163399,0.00163399,0.00163399
6,33.3664,1.39729,1.82451,1.56432,0.24783,0.40476,0.24786,0.0771,2.2457,3.21643,2.2745,0.00162574,0.00162574,0.00162574
7,38.2514,1.41356,1.77065,1.58659,0.36707,0.5,0.44938,0.26809,1.58614,2.12175,1.76994,0.00161749,0.00161749,0.00161749
8,43.066,1.37347,1.67725,1.54661,0.61173,0.57143,0.55696,0.34785,1.30247,1.73689,1.50455,0.00160924,0.00160924,0.00160924
9,47.949,1.40102,1.59949,1.54926,0.53415,0.54762,0.48129,0.26289,1.65533,2.45625,1.97047,0.00160099,0.00160099,0.00160099
10,52.9503,1.36368,1.59207,1.56317,0.34146,0.24665,0.19745,0.06659,2.69192,3.07088,3.03414,0.00159274,0.00159274,0.00159274
11,57.8647,1.39914,1.63472,1.5726,0.87024,0.51563,0.67377,0.39673,1.34271,1.66944,1.56478,0.00158448,0.00158448,0.00158448
12,62.9665,1.36194,1.54724,1.55607,0.48386,0.42857,0.34316,0.20953,1.64335,2.59758,1.87642,0.00157623,0.00157623,0.00157623
13,67.9853,1.34546,1.45669,1.51355,0.81932,0.43982,0.52696,0.28394,1.62247,1.9183,1.77168,0.00156798,0.00156798,0.00156798
14,73.0473,1.29663,1.40028,1.46784,0.9506,0.39012,0.49676,0.20147,1.89066,2.18322,1.96021,0.00155973,0.00155973,0.00155973
15,77.8671,1.32455,1.32479,1.4789,0.82397,0.66667,0.70945,0.42413,1.24862,1.39558,1.43308,0.00155148,0.00155148,0.00155148
16,82.9659,1.26278,1.31873,1.45244,0.63731,0.67591,0.63806,0.31906,1.71127,1.67008,1.79033,0.00154323,0.00154323,0.00154323
17,87.7732,1.36359,1.41864,1.54378,0.75276,0.47619,0.57801,0.30362,1.75042,1.8991,1.85359,0.00153497,0.00153497,0.00153497
18,92.8778,1.24123,1.30525,1.44499,0.79069,0.59524,0.70654,0.42664,1.3303,1.46818,1.59264,0.00152672,0.00152672,0.00152672
19,97.6025,1.26225,1.26467,1.48857,0.78642,0.57143,0.68248,0.39066,1.42905,1.48883,1.55259,0.00151847,0.00151847,0.00151847
20,102.335,1.24781,1.2756,1.44332,0.9094,0.60932,0.76345,0.44808,1.38538,1.32607,1.5573,0.00151022,0.00151022,0.00151022
21,107.341,1.2566,1.20007,1.44228,0.86582,0.66795,0.77375,0.4545,1.36308,1.24763,1.52431,0.00150197,0.00150197,0.00150197
22,112.035,1.23648,1.14993,1.42694,0.78735,0.73951,0.77803,0.4398,1.39849,1.15684,1.51522,0.00149372,0.00149372,0.00149372
23,116.967,1.21537,1.17128,1.41073,0.82478,0.79679,0.84517,0.53534,1.20898,1.07928,1.40506,0.00148546,0.00148546,0.00148546
24,122.002,1.19179,1.07664,1.41641,0.752,0.54747,0.62508,0.4316,1.34502,1.38282,1.54771,0.00147721,0.00147721,0.00147721
