epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90708,1.13939,2.76242,1.40097,0.00372,1,0.78793,0.55684,0.94941,2.73486,1.53199,0.000543038,0.000543038,0.000543038
2,11.6496,1.29522,2.05628,1.51962,0.84297,0.33534,0.59056,0.42512,1.45567,2.58696,1.9884,0.00108783,0.00108783,0.00108783
3,16.7985,1.31592,1.96499,1.49757,0.83962,0.70833,0.84366,0.55272,1.37201,2.20906,2.19786,0.00162161,0.00162161,0.00162161
4,22.1317,1.32734,1.91046,1.51876,0.61867,0.83333,0.69278,0.35578,1.52409,3.01403,2.25266,0.00161749,0.00161749,0.00161749
5,27.8247,1.46096,1.92187,1.58114,0.84116,0.25,0.47913,0.23554,1.73451,2.80205,2.09873,0.00160099,0.00160099,0.00160099
6,33.5957,1.35249,1.72605,1.51245,0.49276,0.64754,0.56291,0.29506,1.68463,2.03662,2.2466,0.00158448,0.00158448,0.00158448
7,39.2976,1.32892,1.70633,1.49953,0.87552,0.44462,0.61144,0.40511,1.64352,2.00407,1.99929,0.00156798,0.00156798,0.00156798
8,44.7478,1.3698,1.68086,1.48953,0.7639,0.58333,0.65685,0.42615,1.47731,1.64668,2.03332,0.00155148,0.00155148,0.00155148
9,50.1091,1.411,1.66423,1.56392,0.96712,0.65774,0.81367,0.54719,1.35818,1.76681,1.85045,0.00153497,0.00153497,0.00153497
10,55.8887,1.33286,1.62739,1.49872,0.69689,0.80149,0.73465,0.52478,1.27782,1.495,1.85782,0.00151847,0.00151847,0.00151847
11,61.9544,1.39302,1.57502,1.55122,0.85826,0.76893,0.94079,0.65948,1.25156,1.43737,1.72022,0.00150197,0.00150197,0.00150197
12,67.8327,1.33367,1.41914,1.47433,0.98382,0.7861,0.93033,0.6208,1.28079,1.19257,1.75001,0.00148546,0.00148546,0.00148546
13,73.7719,1.3109,1.4084,1.48321,0.86564,0.85619,0.91806,0.58667,1.24151,1.21409,1.657,0.00146896,0.00146896,0.00146896
14,80.195,1.23554,1.25298,1.42997,0.81991,0.65176,0.74775,0.43357,1.59771,1.60153,2.15086,0.00145246,0.00145246,0.00145246
15,87.2028,1.28356,1.3161,1.46988,0.98039,0.91667,0.98595,0.63332,1.29409,1.01541,1.68841,0.00143595,0.00143595,0.00143595
16,94.2402,1.28749,1.31275,1.46627,0.82671,0.85186,0.94694,0.68064,1.16262,1.01627,1.66925,0.00141945,0.00141945,0.00141945
17,101.182,1.20974,1.21251,1.42463,0.73547,0.95833,0.9533,0.64053,1.3693,1.47257,1.99435,0.00140295,0.00140295,0.00140295
18,107.963,1.2227,1.14216,1.43633,0.88008,0.97029,0.979,0.67483,1.21914,0.88146,1.73516,0.00138644,0.00138644,0.00138644
19,115.441,1.22489,1.21047,1.44053,0.90191,0.75861,0.93556,0.61023,1.25761,1.22613,1.69698,0.00136994,0.00136994,0.00136994
20,122.904,1.20187,1.18433,1.4037,0.827,0.97421,0.93538,0.64772,1.25352,0.92838,1.70694,0.00135344,0.00135344,0.00135344
21,130.854,1.17642,1.13206,1.39638,0.64819,0.91667,0.80673,0.60899,1.21291,1.3209,1.59139,0.00133693,0.00133693,0.00133693
22,138.083,1.22249,1.1649,1.42704,0.70517,0.95833,0.8915,0.60734,1.17788,0.93137,1.66296,0.00132043,0.00132043,0.00132043
23,145.035,1.15789,1.13791,1.37463,0.91956,1,0.98538,0.67668,1.28695,0.80732,1.63354,0.00130393,0.00130393,0.00130393
24,152.298,1.11678,1.0278,1.32435,0.96307,0.82633,0.97,0.64672,1.24074,0.83446,1.66337,0.00128742,0.00128742,0.00128742
25,159.906,1.12979,1.05498,1.37057,0.75342,0.93665,0.945,0.64179,1.09104,0.89177,1.56719,0.00127092,0.00127092,0.00127092
26,167.462,1.14769,1.09315,1.39538,0.92112,0.91667,0.94416,0.68348,1.1716,0.85694,1.57823,0.00125442,0.00125442,0.00125442
27,174.844,1.12373,0.98586,1.33716,0.91841,0.83333,0.92031,0.61592,1.26466,0.77312,1.79736,0.00123791,0.00123791,0.00123791
28,180.345,1.21951,1.10041,1.41168,0.89439,0.75,0.90074,0.6204,1.21901,1.00898,1.64532,0.00122141,0.00122141,0.00122141
29,184.296,1.1267,1.00742,1.3629,0.92762,0.875,0.8898,0.66059,0.99331,0.83838,1.50417,0.00120491,0.00120491,0.00120491
30,189.869,1.0565,0.92487,1.30332,0.93219,0.95833,0.97615,0.72782,0.99949,0.74259,1.47821,0.0011884,0.0011884,0.0011884
31,195.359,1.13047,0.95622,1.34615,0.99606,0.97698,0.995,0.70863,1.07947,0.69287,1.52346,0.0011719,0.0011719,0.0011719
32,200.852,1.07861,0.90251,1.30506,0.94198,0.875,0.94462,0.74228,0.87139,0.6307,1.33593,0.0011554,0.0011554,0.0011554
33,206.088,1.06347,0.88101,1.29894,0.97505,1,0.995,0.76088,0.93845,0.55025,1.39635,0.00113889,0.00113889,0.00113889
34,211.646,1.09247,0.89706,1.31925,0.97874,0.99262,0.995,0.75417,0.99897,0.55084,1.44527,0.00112239,0.00112239,0.00112239
35,217.436,1.08462,0.90621,1.31746,0.95027,0.9651,0.995,0.73117,0.99084,0.63097,1.4038,0.00110589,0.00110589,0.00110589
36,223.236,1.0436,0.89684,1.29014,0.86902,0.9276,0.96423,0.70982,0.97613,0.80161,1.58675,0.00108938,0.00108938,0.00108938
37,228.996,1.06368,0.88078,1.28708,0.95995,0.95833,0.98929,0.72349,0.98829,0.63476,1.41823,0.00107288,0.00107288,0.00107288
38,235.012,1.02979,0.83701,1.27631,0.90528,0.83333,0.88149,0.63735,0.98119,0.72576,1.48237,0.00105638,0.00105638,0.00105638
39,240.685,1.02827,0.81614,1.27672,0.9547,0.87192,0.9742,0.71811,1.02798,0.68897,1.50537,0.00103987,0.00103987,0.00103987
40,246.264,1.03686,0.81158,1.28481,0.85714,0.93078,0.97,0.78969,0.9427,0.56469,1.44735,0.00102337,0.00102337,0.00102337
41,252.369,0.97902,0.77538,1.24473,0.78806,0.95193,0.94718,0.70751,0.92204,0.6442,1.36881,0.00100687,0.00100687,0.00100687
42,258.507,1.03372,0.85109,1.29124,0.86483,0.98587,0.97,0.67841,1.10526,0.59423,1.57487,0.000990365,0.000990365,0.000990365
43,264.967,1.00835,0.83381,1.26178,0.77177,0.81355,0.86405,0.62667,1.11676,0.72262,1.58816,0.000973861,0.000973861,0.000973861
44,271.299,1.02492,0.82667,1.27233,0.82061,0.95521,0.95359,0.7194,0.99277,0.77224,1.54939,0.000957358,0.000957358,0.000957358
45,278.147,0.97166,0.80032,1.26043,0.94029,0.95753,0.9624,0.72414,1.0058,0.55872,1.43735,0.000940855,0.000940855,0.000940855
46,285.132,1.01125,0.80191,1.25235,0.8969,0.98996,0.97658,0.73416,0.99402,0.63793,1.36818,0.000924352,0.000924352,0.000924352
47,291.792,0.93676,0.73654,1.22651,0.8755,0.93024,0.95152,0.72867,1.01509,0.67465,1.43831,0.000907848,0.000907848,0.000907848
48,298.606,0.99419,0.77994,1.26002,0.95887,1,0.995,0.73381,0.91917,0.52612,1.42702,0.000891345,0.000891345,0.000891345
