epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11743,1.11772,2.72712,1.39415,0.84942,0.07692,0.45068,0.26745,1.32994,2.77536,1.69368,0.000542744,0.000542744,0.000542744
2,14.0611,1.24115,2.02735,1.49092,0.69816,0.54649,0.58757,0.32282,1.30394,2.20666,1.89058,0.00108754,0.00108754,0.00108754
3,20.9816,1.38668,2.00578,1.56838,0.40683,0.26202,0.22044,0.12051,1.84958,2.81631,2.39736,0.00162133,0.00162133,0.00162133
4,27.3194,1.46075,2.01454,1.59466,0.72418,0.4816,0.55996,0.2922,1.63383,2.41436,2.1458,0.00161749,0.00161749,0.00161749
5,34.5342,1.40528,1.89402,1.55828,0.38092,0.47356,0.36715,0.17517,1.66591,3.56847,2.13578,0.00160099,0.00160099,0.00160099
6,41.7517,1.34473,1.72328,1.50731,0.69671,0.61058,0.67074,0.37121,1.39745,2.3443,1.92569,0.00158448,0.00158448,0.00158448
7,49.6832,1.40552,1.77,1.57126,0.37817,0.63462,0.43653,0.22063,1.6648,2.56803,2.07041,0.00156798,0.00156798,0.00156798
8,56.9665,1.41238,1.68112,1.55467,0.62889,0.48077,0.55606,0.24914,1.67323,2.21298,2.23798,0.00155148,0.00155148,0.00155148
9,64.0805,1.37713,1.58569,1.53018,0.73141,0.40314,0.47621,0.2319,1.62771,2.481,2.13437,0.00153497,0.00153497,0.00153497
10,71.9902,1.37605,1.5726,1.55056,0.62143,0.48717,0.56452,0.30609,1.52391,1.87102,1.91292,0.00151847,0.00151847,0.00151847
11,79.6711,1.34607,1.52473,1.50919,0.70589,0.41288,0.50703,0.29508,1.5294,2.07065,1.84706,0.00150197,0.00150197,0.00150197
12,87.1188,1.31567,1.49494,1.52197,0.8432,0.33728,0.43856,0.22342,1.84982,2.50256,2.24344,0.00148546,0.00148546,0.00148546
13,94.3143,1.37118,1.44719,1.50566,0.56497,0.64183,0.63395,0.33393,1.7782,1.66364,2.21641,0.00146896,0.00146896,0.00146896
14,100.452,1.28007,1.38145,1.46857,0.64389,0.68029,0.67639,0.41055,1.57704,1.5555,1.93355,0.00145246,0.00145246,0.00145246
15,104.773,1.29854,1.40843,1.50097,0.82668,0.59285,0.70805,0.42428,1.35981,1.36463,1.731,0.00143595,0.00143595,0.00143595
16,109.623,1.31671,1.36888,1.48804,0.64741,0.69768,0.66422,0.35409,1.58705,1.46419,1.90257,0.00141945,0.00141945,0.00141945
17,114.934,1.26564,1.33754,1.4425,0.55434,0.5649,0.53821,0.29766,1.54241,1.74767,1.9154,0.00140295,0.00140295,0.00140295
18,120.356,1.22661,1.23856,1.4272,0.61558,0.7932,0.73599,0.41705,1.60266,1.35367,2.08344,0.00138644,0.00138644,0.00138644
19,126.239,1.20186,1.16953,1.43038,0.6932,0.72256,0.74566,0.43409,1.51346,1.23199,1.83883,0.00136994,0.00136994,0.00136994
20,131.985,1.16946,1.11287,1.37507,0.66526,0.73116,0.6907,0.43318,1.48942,1.20996,1.974,0.00135344,0.00135344,0.00135344
21,137.691,1.20974,1.09899,1.41873,0.78421,0.62135,0.71205,0.48682,1.35916,1.1724,1.77226,0.00133693,0.00133693,0.00133693
22,143.503,1.19207,1.10329,1.40136,0.76525,0.59615,0.72428,0.45978,1.34153,1.09501,1.69388,0.00132043,0.00132043,0.00132043
23,149.219,1.18613,1.08695,1.4111,0.91657,0.6836,0.78142,0.44489,1.38918,1.17006,1.74844,0.00130393,0.00130393,0.00130393
