epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42842,1.10349,2.80766,1.35722,1,0.24625,0.71227,0.504,0.8439,2.30345,1.30032,0.000543038,0.000543038,0.000543038
2,11.7065,1.29472,2.06629,1.54721,0.57225,0.616,0.76273,0.50629,1.17369,2.06522,1.64051,0.00108783,0.00108783,0.00108783
3,16.7914,1.43411,2.08447,1.59987,0.28467,0.75,0.43068,0.1574,1.6452,4.80082,2.2814,0.00162161,0.00162161,0.00162161
4,21.7088,1.40556,2.00516,1.58489,0.92293,0.42857,0.49173,0.30196,1.2674,2.31434,1.69155,0.00161749,0.00161749,0.00161749
5,27.1732,1.42426,1.87701,1.5781,0.84095,0.35714,0.3339,0.17149,1.56426,3.34595,1.95358,0.00160099,0.00160099,0.00160099
6,32.9001,1.41727,1.82265,1.58535,0.94513,0.32143,0.4278,0.2578,1.34254,2.60199,1.84545,0.00158448,0.00158448,0.00158448
7,37.586,1.40015,1.75324,1.55562,0.47846,0.35714,0.46162,0.22828,1.62911,2.04298,2.29365,0.00156798,0.00156798,0.00156798
8,43.5913,1.37704,1.70525,1.53767,0.5832,0.64286,0.71534,0.38674,1.3567,1.66708,1.71989,0.00155148,0.00155148,0.00155148
9,49.1336,1.41101,1.69396,1.57471,0.24035,0.42857,0.20102,0.07353,1.80334,3.42499,2.19532,0.00153497,0.00153497,0.00153497
10,55.0515,1.32906,1.5725,1.51414,0.54435,0.75,0.74416,0.34816,1.19083,1.44383,1.65224,0.00151847,0.00151847,0.00151847
11,60.5954,1.37261,1.53107,1.54041,0.86774,0.63338,0.69514,0.41765,1.31142,1.66349,1.73202,0.00150197,0.00150197,0.00150197
12,66.6374,1.28614,1.43769,1.47547,0.68145,0.64286,0.8385,0.4016,1.34149,1.35875,1.58349,0.00148546,0.00148546,0.00148546
13,72.1677,1.35641,1.44746,1.52872,0.92973,0.5,0.5271,0.33157,1.18154,1.30518,1.61785,0.00146896,0.00146896,0.00146896
14,77.8422,1.27834,1.31783,1.45213,0.43073,0.75,0.65435,0.41444,1.12326,1.04218,1.5494,0.00145246,0.00145246,0.00145246
15,82.9169,1.29719,1.34366,1.47832,0.95503,0.69814,0.86222,0.52287,1.10116,0.89966,1.48925,0.00143595,0.00143595,0.00143595
16,88.5858,1.30278,1.33228,1.46451,0.84379,0.71429,0.81329,0.44739,1.15343,1.06824,1.57159,0.00141945,0.00141945,0.00141945
17,94.0727,1.2732,1.25721,1.45216,0.75184,0.80988,0.78604,0.39854,0.96669,1.06757,1.3445,0.00140295,0.00140295,0.00140295
18,99.9373,1.21216,1.22037,1.41668,0.66997,0.98158,0.89813,0.59849,1.13794,0.88715,1.52554,0.00138644,0.00138644,0.00138644
19,105.04,1.21702,1.2113,1.43014,0.54641,0.96429,0.7172,0.4153,1.09151,0.98744,1.52493,0.00136994,0.00136994,0.00136994
20,110.403,1.20308,1.14589,1.40736,0.69957,0.96429,0.73458,0.56924,0.88589,0.7472,1.34635,0.00135344,0.00135344,0.00135344
21,116.67,1.17825,1.1542,1.40471,0.63424,0.74019,0.78071,0.47307,1.06662,0.90419,1.38874,0.00133693,0.00133693,0.00133693
22,122.861,1.17756,1.17516,1.42724,0.72834,0.86436,0.83936,0.5275,1.14327,1.02343,1.52829,0.00132043,0.00132043,0.00132043
23,128.345,1.20767,1.13037,1.40868,0.76097,0.82143,0.75185,0.5089,1.0942,1.06938,1.48972,0.00130393,0.00130393,0.00130393
24,134.108,1.137,1.06621,1.36158,0.84388,0.88413,0.94064,0.57953,1.04342,0.78018,1.48426,0.00128742,0.00128742,0.00128742
25,139.347,1.1537,1.06483,1.37713,0.69889,0.95294,0.89198,0.63978,0.97019,0.85446,1.34656,0.00127092,0.00127092,0.00127092
26,143.985,1.17373,1.05843,1.39493,0.88627,0.96805,0.995,0.58648,0.95435,0.74057,1.3794,0.00125442,0.00125442,0.00125442
27,149.706,1.11805,1.00677,1.3481,0.85525,0.95195,0.99267,0.47863,1.11714,0.72287,1.45832,0.00123791,0.00123791,0.00123791
28,154.402,1.1736,1.02085,1.3903,0.97068,1,0.995,0.62993,0.96183,0.62662,1.41501,0.00122141,0.00122141,0.00122141
29,159.644,1.09807,0.96523,1.34072,0.95303,1,0.99267,0.80146,0.79171,0.54,1.2618,0.00120491,0.00120491,0.00120491
30,164.402,1.0628,0.94875,1.32,0.95266,0.98341,0.995,0.60172,0.99288,0.6973,1.34264,0.0011884,0.0011884,0.0011884
31,169.047,1.01788,0.90076,1.30361,0.94036,0.97572,0.99033,0.66914,0.92508,0.63045,1.28659,0.0011719,0.0011719,0.0011719
32,174.271,1.03984,0.95398,1.29484,0.79916,0.99998,0.91167,0.50218,1.05067,0.57013,1.4144,0.0011554,0.0011554,0.0011554
33,179.71,1.06312,0.85887,1.29756,0.81019,0.92646,0.91167,0.52561,0.9026,0.69237,1.24179,0.00113889,0.00113889,0.00113889
34,185.385,1.05675,0.94021,1.31297,0.92212,0.98027,0.99033,0.69583,0.85405,0.58956,1.3121,0.00112239,0.00112239,0.00112239
35,191.223,1.05048,0.89039,1.3022,0.92567,1,0.99267,0.65058,0.85223,0.56015,1.24898,0.00110589,0.00110589,0.00110589
36,197.217,1.05733,0.90246,1.31613,0.81384,1,0.91167,0.5877,0.98817,0.59526,1.30438,0.00108938,0.00108938,0.00108938
37,202.042,1.05119,0.9045,1.29973,0.81364,0.87675,0.91167,0.62691,0.98794,0.82056,1.35761,0.00107288,0.00107288,0.00107288
38,207.459,1.02595,0.8694,1.28493,0.69976,1,0.87,0.63492,0.81574,0.54207,1.19892,0.00105638,0.00105638,0.00105638
39,213.51,1.08133,0.86931,1.33283,0.65143,1,0.86767,0.57583,0.78796,0.51834,1.15697,0.00103987,0.00103987,0.00103987
40,218.95,1.03762,0.8377,1.30164,0.91812,0.96854,0.995,0.56219,0.86584,0.53752,1.25532,0.00102337,0.00102337,0.00102337
41,223.917,1.00872,0.80864,1.23981,0.67796,0.9522,0.86125,0.49913,0.92796,0.67815,1.31106,0.00100687,0.00100687,0.00100687
42,229.704,1.02088,0.82333,1.27329,0.97835,0.95992,0.995,0.6665,0.94622,0.56499,1.33957,0.000990365,0.000990365,0.000990365
43,235.427,1.03896,0.84805,1.26813,0.79065,0.8735,0.82917,0.47225,0.98081,0.76732,1.36498,0.000973861,0.000973861,0.000973861
44,241.31,0.98318,0.81631,1.25459,0.98927,0.99401,0.995,0.65208,0.91792,0.55901,1.34182,0.000957358,0.000957358,0.000957358
45,247.102,1.02137,0.81004,1.30479,0.98382,0.94864,0.995,0.51045,1.05195,0.52729,1.48975,0.000940855,0.000940855,0.000940855
46,253.627,1.00673,0.80855,1.25867,0.93876,0.98137,0.995,0.56685,0.94664,0.53965,1.29629,0.000924352,0.000924352,0.000924352
47,259.52,0.9427,0.74309,1.22539,0.80644,0.97549,0.91167,0.60675,0.80914,0.57677,1.20609,0.000907848,0.000907848,0.000907848
48,265.843,0.99433,0.76427,1.24285,0.82231,0.95821,0.90729,0.43746,1.22185,0.75688,1.53464,0.000891345,0.000891345,0.000891345
49,271.529,0.96477,0.71882,1.23629,0.76976,0.97796,0.91167,0.5589,0.93672,0.53888,1.34032,0.000874842,0.000874842,0.000874842
50,277.439,0.97649,0.76436,1.22964,0.97251,1,0.995,0.52507,1.01904,0.49448,1.38096,0.000858338,0.000858338,0.000858338
51,282.609,0.94358,0.73452,1.20532,0.82177,1,0.91167,0.62697,0.88829,0.50626,1.24723,0.000841835,0.000841835,0.000841835
52,288.682,0.95319,0.73838,1.22629,0.9699,1,0.995,0.66753,0.84608,0.48287,1.22756,0.000825332,0.000825332,0.000825332
53,293.99,0.93342,0.73454,1.22396,0.97662,1,0.995,0.59151,0.82313,0.45028,1.22223,0.000808828,0.000808828,0.000808828
54,299.583,0.97281,0.78535,1.2539,0.97135,0.90691,0.995,0.63507,0.85237,0.51616,1.27542,0.000792325,0.000792325,0.000792325
55,303.834,0.91766,0.72764,1.22661,0.98122,0.99623,0.995,0.59446,0.80386,0.44181,1.20714,0.000775822,0.000775822,0.000775822
56,309.094,0.94851,0.75577,1.22817,0.92863,0.9652,0.995,0.61837,0.78203,0.44714,1.19067,0.000759318,0.000759318,0.000759318
57,314.254,0.91051,0.71786,1.21258,0.97435,0.96429,0.99267,0.61331,0.94305,0.49594,1.32765,0.000742815,0.000742815,0.000742815
58,319.93,0.90833,0.73785,1.22816,0.95839,0.99095,0.995,0.67432,0.88035,0.45346,1.21866,0.000726312,0.000726312,0.000726312
59,325.002,0.89224,0.7227,1.20523,0.96564,0.94271,0.99267,0.55107,0.86372,0.50883,1.2399,0.000709809,0.000709809,0.000709809
60,329.972,0.86605,0.66684,1.19888,0.92601,0.98913,0.99267,0.57649,0.84902,0.47482,1.27138,0.000693305,0.000693305,0.000693305
61,335.198,0.89001,0.70382,1.21224,0.97868,0.98275,0.995,0.61689,0.8537,0.43804,1.21072,0.000676802,0.000676802,0.000676802
62,340.275,0.89977,0.69676,1.20028,0.95297,1,0.995,0.60995,0.97408,0.43887,1.33748,0.000660299,0.000660299,0.000660299
63,345.733,0.8563,0.64618,1.15194,0.98411,0.99457,0.995,0.59889,1.02306,0.46132,1.40987,0.000643795,0.000643795,0.000643795
