epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.11809,1.08956,2.7391,1.36528,0.00353,0.75595,0.48234,0.30681,1.13707,2.84802,1.68484,0.000542744,0.000542744,0.000542744
2,15.9231,1.30894,2.11631,1.51315,0.90184,0.14286,0.52,0.24494,1.69134,2.51536,2.53121,0.00108754,0.00108754,0.00108754
3,22.6712,1.38038,2.11045,1.5928,0.4614,0.41629,0.44243,0.21137,1.81847,2.48821,2.32953,0.00162133,0.00162133,0.00162133
4,28.9718,1.50889,2.07986,1.65165,0.7746,0.44604,0.52943,0.28733,1.60842,2.21553,2.00786,0.00161749,0.00161749,0.00161749
5,35.8193,1.42714,1.9738,1.58586,0.51006,0.62657,0.49633,0.22021,1.8194,2.3616,2.29408,0.00160099,0.00160099,0.00160099
6,42.2283,1.41464,1.81507,1.56804,0.62332,0.62434,0.65955,0.31798,1.80803,1.97183,2.22424,0.00158448,0.00158448,0.00158448
7,46.9852,1.36637,1.69633,1.54829,0.59987,0.55952,0.59824,0.34094,1.96033,1.8747,2.4128,0.00156798,0.00156798,0.00156798
8,53.0067,1.3816,1.6608,1.55124,0.59763,0.49171,0.56358,0.24407,1.90837,2.52654,2.35544,0.00155148,0.00155148,0.00155148
9,59.1719,1.3982,1.68391,1.56868,0.76878,0.58747,0.72091,0.30238,1.79091,1.79029,2.21085,0.00153497,0.00153497,0.00153497
10,65.9833,1.36229,1.5987,1.54118,0.70235,0.54762,0.61658,0.26892,2.19698,1.91974,2.54266,0.00151847,0.00151847,0.00151847
11,71.7999,1.30427,1.51991,1.51039,0.81608,0.54671,0.67956,0.28495,2.06313,1.87744,2.4573,0.00150197,0.00150197,0.00150197
12,77.7161,1.3489,1.52773,1.53475,0.75813,0.67462,0.74523,0.31938,2.08405,1.65277,2.31637,0.00148546,0.00148546,0.00148546
13,83.2614,1.2754,1.41027,1.47068,0.83953,0.64808,0.74041,0.38114,1.99378,1.72356,2.39928,0.00146896,0.00146896,0.00146896
14,89.7656,1.30952,1.38426,1.47425,0.76822,0.48701,0.58711,0.27386,1.84504,1.95795,2.04495,0.00145246,0.00145246,0.00145246
15,95.9786,1.23709,1.31176,1.46125,0.68784,0.59797,0.64213,0.27206,1.85956,1.69746,2.24381,0.00143595,0.00143595,0.00143595
16,102.318,1.2609,1.29112,1.47269,0.92377,0.5984,0.69149,0.39847,1.42844,1.46326,1.71559,0.00141945,0.00141945,0.00141945
17,109.051,1.23652,1.24406,1.41719,0.64564,0.64473,0.57681,0.29903,1.69305,1.41717,2.06369,0.00140295,0.00140295,0.00140295
18,115.645,1.23408,1.23196,1.44766,0.94083,0.67082,0.72161,0.40255,1.72819,1.39108,2.08152,0.00138644,0.00138644,0.00138644
19,121.981,1.23953,1.1733,1.43149,0.7554,0.77644,0.78236,0.39347,1.9188,1.25986,2.23988,0.00136994,0.00136994,0.00136994
20,128.893,1.22501,1.16197,1.42884,0.77547,0.6813,0.75043,0.39198,1.54724,1.528,1.96634,0.00135344,0.00135344,0.00135344
21,135.505,1.16639,1.14285,1.37738,0.76777,0.68365,0.70731,0.41923,1.599,1.42865,1.86295,0.00133693,0.00133693,0.00133693
22,142.453,1.21297,1.12989,1.41163,0.82526,0.80136,0.84235,0.48085,1.74223,1.10145,2.18133,0.00132043,0.00132043,0.00132043
23,149.38,1.19081,1.11582,1.41209,0.97245,0.66541,0.84763,0.47716,1.80101,1.21394,2.18185,0.00130393,0.00130393,0.00130393
24,155.056,1.18733,1.06275,1.38173,0.95722,0.70244,0.84845,0.43007,1.71993,1.04402,1.94243,0.00128742,0.00128742,0.00128742
25,160.194,1.13154,1.06017,1.36282,0.72192,0.78515,0.78023,0.44459,1.65968,1.18762,1.95127,0.00127092,0.00127092,0.00127092
26,166.433,1.08554,1.00033,1.34325,0.90754,0.83022,0.87596,0.54484,1.56638,1.16363,1.88619,0.00125442,0.00125442,0.00125442
27,172.592,1.10054,0.96475,1.34806,0.80244,0.71429,0.74545,0.41978,1.64568,1.0907,2.09556,0.00123791,0.00123791,0.00123791
28,178.409,1.1231,0.99395,1.3466,0.83727,0.67771,0.77661,0.39494,1.86352,1.17849,2.30129,0.00122141,0.00122141,0.00122141
29,184.396,1.11015,0.96113,1.35076,0.69375,0.49974,0.58685,0.34456,1.86246,1.69843,2.17302,0.00120491,0.00120491,0.00120491
30,189.903,1.14101,1.00936,1.36508,0.6936,0.68452,0.72831,0.40274,1.67416,1.0837,2.10594,0.0011884,0.0011884,0.0011884
31,196.082,1.10788,0.96351,1.34581,0.86518,0.78553,0.82375,0.45492,1.80392,1.39374,2.19211,0.0011719,0.0011719,0.0011719
