epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26634,1.12457,2.73674,1.39054,0.00384,1,0.59975,0.36798,1.24165,2.88722,1.71836,0.000543038,0.000543038,0.000543038
2,14.3083,1.32917,2.08491,1.54178,0.60098,0.10134,0.30444,0.13059,1.60795,2.79396,2.07716,0.00108783,0.00108783,0.00108783
3,21.3878,1.37609,2.03758,1.55796,0.64371,0.41667,0.37833,0.18228,1.91525,3.08023,2.36879,0.00162161,0.00162161,0.00162161
4,28.9522,1.41636,2.0284,1.58068,0.40339,0.56667,0.31302,0.13183,1.73922,3.19647,2.43986,0.00161749,0.00161749,0.00161749
5,36.5775,1.41085,1.91707,1.57773,0.1933,0.68333,0.22094,0.08807,1.78852,3.95286,2.40005,0.00160099,0.00160099,0.00160099
6,44.1601,1.39656,1.8141,1.52914,0.21872,0.53333,0.3187,0.17867,1.61683,3.59396,2.02386,0.00158448,0.00158448,0.00158448
7,49.6288,1.36338,1.69891,1.52906,0.67064,0.26667,0.32073,0.13939,1.91519,3.03374,2.31564,0.00156798,0.00156798,0.00156798
8,55.9289,1.33607,1.63205,1.46937,0.43932,0.51667,0.46437,0.25183,1.74901,2.57989,2.0342,0.00155148,0.00155148,0.00155148
9,62.6661,1.4,1.57841,1.53759,0.2999,0.73333,0.49483,0.21919,1.6792,2.37442,2.02496,0.00153497,0.00153497,0.00153497
10,69.4963,1.30936,1.59074,1.49759,0.8158,0.34346,0.56442,0.25658,1.65689,2.34676,2.13149,0.00151847,0.00151847,0.00151847
11,75.7476,1.35751,1.52866,1.52816,0.53245,0.63333,0.60615,0.34326,1.27064,1.81588,1.66999,0.00150197,0.00150197,0.00150197
12,82.1086,1.28154,1.40032,1.462,0.46264,0.45,0.54134,0.26157,1.73014,2.01371,2.09168,0.00148546,0.00148546,0.00148546
13,88.0859,1.31917,1.42827,1.49269,0.64713,0.52997,0.674,0.31921,1.49706,2.03665,1.83268,0.00146896,0.00146896,0.00146896
14,93.0253,1.2447,1.28849,1.41675,0.43463,0.63333,0.54371,0.26273,1.75239,2.00352,2.30051,0.00145246,0.00145246,0.00145246
15,98.4537,1.29349,1.34062,1.48717,0.71779,0.77653,0.84236,0.40514,1.43841,1.49233,1.80786,0.00143595,0.00143595,0.00143595
16,104.284,1.26614,1.24955,1.44757,0.81041,0.81473,0.85571,0.48798,1.36285,1.1775,1.64001,0.00141945,0.00141945,0.00141945
17,109.897,1.2736,1.25486,1.44871,0.74959,0.69602,0.73911,0.4033,1.64065,1.43616,1.92641,0.00140295,0.00140295,0.00140295
18,115.662,1.17639,1.17929,1.40353,0.71923,0.73576,0.79461,0.51464,1.28365,1.17745,1.55782,0.00138644,0.00138644,0.00138644
19,120.79,1.20672,1.1556,1.42803,0.85021,0.78689,0.8498,0.50208,1.33053,1.24249,1.70957,0.00136994,0.00136994,0.00136994
20,126.784,1.23232,1.15078,1.44386,0.53401,0.7517,0.67579,0.40539,1.52564,1.38592,1.89215,0.00135344,0.00135344,0.00135344
21,132.601,1.20793,1.15385,1.40967,0.8218,0.86667,0.88342,0.46729,1.46919,1.26937,1.84021,0.00133693,0.00133693,0.00133693
