experimento_base,k_folds,tempo_total,avg_mAP50_95,std_mAP50_95,avg_mAP50,std_mAP50,avg_precision,std_precision,avg_recall,std_recall
kfold_kfold_dataset_stratified_10_10folds,10,00h 56m 0.65s,0.6918,0.0656,0.9583,0.0394,0.9538,0.0366,0.9173,0.0581
kfold_kfold_dataset_stratified_10_10folds,10,00h 00m 0.02s,0.6918,0.0656,0.9583,0.0394,0.9539,0.0366,0.9173,0.0581
kfold_kfold_dataset_stratified_10_10folds_200ep,10,01h 09m 20.26s,0.6530,0.0710,0.9178,0.0628,0.9040,0.0528,0.8514,0.0957
