epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46202,1.1092,2.77331,1.38425,0.00357,1,0.72587,0.43834,1.20588,2.80405,1.70115,0.000542744,0.000542744,0.000542744
2,14.2289,1.25768,2.04374,1.44399,0.50483,0.53571,0.53122,0.32635,1.50874,2.59028,2.06994,0.00108754,0.00108754,0.00108754
3,20.7839,1.39907,2.09914,1.56758,0.50276,0.68321,0.57395,0.27027,1.55569,2.35818,2.53407,0.00162133,0.00162133,0.00162133
4,28.1199,1.43103,2.01067,1.59544,0.30677,0.64286,0.36648,0.11606,1.6531,2.93204,2.41473,0.00161749,0.00161749,0.00161749
5,35.1876,1.48582,1.95611,1.62806,0.6942,0.52981,0.62466,0.3653,1.5465,2.51667,2.14943,0.00160099,0.00160099,0.00160099
6,41.7439,1.41297,1.84902,1.58653,0.38888,0.82143,0.69971,0.37974,1.44367,2.35717,2.1599,0.00158448,0.00158448,0.00158448
7,47.1351,1.34869,1.74709,1.5336,0.60361,0.85714,0.7964,0.48071,1.53996,2.13555,2.42004,0.00156798,0.00156798,0.00156798
8,53.2492,1.43755,1.64142,1.54583,0.5627,0.78999,0.6748,0.42242,1.45912,1.90972,2.07125,0.00155148,0.00155148,0.00155148
9,59.1651,1.35783,1.58544,1.54705,0.80879,0.78762,0.868,0.58693,1.41114,1.81191,2.04345,0.00153497,0.00153497,0.00153497
10,64.9104,1.38218,1.65342,1.54016,0.71903,0.82143,0.88849,0.58575,1.37476,1.52924,2.06641,0.00151847,0.00151847,0.00151847
11,71.3312,1.34791,1.53027,1.53339,0.88776,0.7424,0.84722,0.55747,1.27715,1.6021,1.7882,0.00150197,0.00150197,0.00150197
12,78.1769,1.30986,1.47509,1.49596,0.94016,0.78571,0.91772,0.55068,1.58434,1.49995,2.13628,0.00148546,0.00148546,0.00148546
13,84.43,1.3296,1.42147,1.48357,0.89433,0.63345,0.81176,0.51293,1.54893,1.88741,1.99952,0.00146896,0.00146896,0.00146896
14,90.4983,1.26201,1.34324,1.44126,0.95889,0.88719,0.95261,0.57712,1.39855,1.4337,1.95981,0.00145246,0.00145246,0.00145246
15,96.7729,1.28823,1.35588,1.4749,0.7613,0.73316,0.80119,0.50043,1.32742,1.34827,1.84703,0.00143595,0.00143595,0.00143595
16,103.141,1.24662,1.28761,1.46369,0.89456,0.89286,0.93157,0.61877,1.43892,1.16449,1.99064,0.00141945,0.00141945,0.00141945
17,109.204,1.18837,1.23394,1.40545,0.92332,0.71576,0.91267,0.61348,1.45722,1.13308,2.0006,0.00140295,0.00140295,0.00140295
18,114.87,1.24528,1.22045,1.44535,1,0.81551,0.95483,0.62458,1.28248,1.46904,1.79268,0.00138644,0.00138644,0.00138644
19,120.812,1.29144,1.24745,1.45459,0.75646,0.82143,0.87067,0.50718,1.27604,1.83906,1.71033,0.00136994,0.00136994,0.00136994
20,126.161,1.20149,1.18984,1.40932,0.96415,0.73801,0.95076,0.57831,1.58924,1.33014,2.14181,0.00135344,0.00135344,0.00135344
21,131.47,1.19537,1.17127,1.40763,0.91101,0.96429,0.94089,0.47118,1.78441,1.13683,2.52077,0.00133693,0.00133693,0.00133693
