epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8364,1.10874,2.80615,1.38043,0.00408,0.96667,0.61566,0.37565,1.01205,2.72906,1.33141,0.000542114,0.000542114,0.000542114
2,22.6085,1.22957,2.10272,1.49304,0.58553,0.46207,0.51431,0.2788,1.71355,2.32025,2.17465,0.00108691,0.00108691,0.00108691
3,30.123,1.40311,2.15468,1.60352,0.72461,0.48631,0.57242,0.24811,1.9328,2.30296,2.45177,0.00162071,0.00162071,0.00162071
4,37.2109,1.39556,2.04279,1.59369,0.42165,0.23793,0.26265,0.12327,1.90662,2.77192,2.20659,0.00161749,0.00161749,0.00161749
5,42.962,1.4415,1.91978,1.62268,0.54702,0.57798,0.59764,0.25966,1.75557,2.47818,2.26858,0.00160099,0.00160099,0.00160099
6,48.4471,1.41768,1.86009,1.54893,0.38272,0.56644,0.43895,0.20854,1.71294,2.40844,2.21887,0.00158448,0.00158448,0.00158448
7,54.0513,1.43519,1.85713,1.6045,0.59418,0.4092,0.39718,0.22287,1.70912,2.54105,2.19493,0.00156798,0.00156798,0.00156798
8,59.4436,1.3861,1.74228,1.53205,0.44713,0.52759,0.48106,0.26652,1.8604,2.18204,2.28448,0.00155148,0.00155148,0.00155148
9,64.4399,1.38139,1.70622,1.54516,0.68167,0.38966,0.48612,0.22816,1.75332,2.91927,2.0654,0.00153497,0.00153497,0.00153497
10,69.3789,1.39656,1.60194,1.55297,0.70532,0.58161,0.62949,0.3501,1.76548,1.81735,2.15038,0.00151847,0.00151847,0.00151847
11,75.3858,1.33187,1.50816,1.46042,0.59336,0.59277,0.55521,0.28657,2.03619,2.17365,2.45775,0.00150197,0.00150197,0.00150197
12,81.1108,1.3395,1.50669,1.54852,0.55768,0.56322,0.57038,0.30354,1.6366,2.20925,2.04403,0.00148546,0.00148546,0.00148546
13,86.7713,1.34477,1.44384,1.50629,0.53143,0.69885,0.66102,0.34221,1.51159,2.05716,1.84489,0.00146896,0.00146896,0.00146896
14,92.0434,1.25721,1.33142,1.42283,0.8866,0.62269,0.7363,0.36995,1.51604,1.63001,1.73213,0.00145246,0.00145246,0.00145246
15,97.9281,1.30146,1.30335,1.43574,0.57269,0.68046,0.67012,0.31534,1.78079,1.77657,2.04342,0.00143595,0.00143595,0.00143595
16,102.99,1.28412,1.29569,1.48355,0.8167,0.57734,0.69807,0.40345,1.59197,1.50992,1.82469,0.00141945,0.00141945,0.00141945
17,109.133,1.22889,1.21327,1.40867,0.73841,0.70542,0.71501,0.39627,1.74245,1.33836,2.12787,0.00140295,0.00140295,0.00140295
18,114.738,1.23159,1.20898,1.41661,0.88149,0.64683,0.68472,0.37839,1.81401,1.55182,2.18324,0.00138644,0.00138644,0.00138644
19,120.199,1.24897,1.22536,1.44143,0.87196,0.6914,0.76266,0.40929,1.6209,1.34421,1.95855,0.00136994,0.00136994,0.00136994
20,126.592,1.19446,1.13676,1.402,0.97056,0.74828,0.8456,0.44852,1.64399,1.26429,2.10724,0.00135344,0.00135344,0.00135344
21,133.009,1.20774,1.12337,1.414,0.80113,0.68046,0.75744,0.45467,1.6247,1.26355,1.98257,0.00133693,0.00133693,0.00133693
22,139.064,1.20631,1.17927,1.40455,0.89426,0.68046,0.81097,0.43472,1.61024,1.27611,2.11009,0.00132043,0.00132043,0.00132043
23,145.387,1.18566,1.15988,1.41042,0.90688,0.70476,0.8061,0.41753,1.51225,1.4042,1.92617,0.00130393,0.00130393,0.00130393
24,151.318,1.20206,1.07115,1.40323,0.771,0.63218,0.68793,0.44627,1.32967,1.41031,1.70194,0.00128742,0.00128742,0.00128742
25,158.233,1.17069,1.05724,1.38182,0.93201,0.74828,0.81725,0.45152,1.4381,1.16815,1.77299,0.00127092,0.00127092,0.00127092
26,165.005,1.13551,1.0181,1.34224,0.84415,0.5975,0.70953,0.42954,1.38841,1.17569,1.85265,0.00125442,0.00125442,0.00125442
27,172.124,1.08836,0.96136,1.33578,0.90558,0.64017,0.72639,0.37695,1.93464,1.45448,2.51505,0.00123791,0.00123791,0.00123791
28,178.625,1.14826,1.02106,1.36275,0.85899,0.66414,0.78404,0.43974,1.42474,1.33627,1.77535,0.00122141,0.00122141,0.00122141
29,184.96,1.16157,1.01735,1.36216,0.85614,0.73103,0.76442,0.41966,1.59589,1.06442,2.00553,0.00120491,0.00120491,0.00120491
30,192.067,1.10518,0.96049,1.3289,0.75369,0.7046,0.77084,0.46712,1.44911,1.32451,1.79447,0.0011884,0.0011884,0.0011884
31,199.207,1.12095,0.93327,1.32917,0.77174,0.7257,0.78347,0.46788,1.41183,1.31351,1.77096,0.0011719,0.0011719,0.0011719
32,206.451,1.1496,0.96013,1.3685,0.84054,0.76552,0.82473,0.47166,1.53622,1.23175,1.96274,0.0011554,0.0011554,0.0011554
33,213.538,1.10111,0.93545,1.32101,0.69642,0.81899,0.77761,0.44783,1.34634,1.08974,1.67185,0.00113889,0.00113889,0.00113889
34,220.688,1.10423,0.91993,1.33045,0.86579,0.81609,0.85975,0.51785,1.44631,0.95145,1.70507,0.00112239,0.00112239,0.00112239
35,227.27,1.05024,0.94316,1.31494,0.74681,0.74713,0.73233,0.49135,1.35416,1.08475,1.6599,0.00110589,0.00110589,0.00110589
36,232.535,1.07524,0.88337,1.30729,0.78247,0.79885,0.79926,0.4058,1.84297,1.28249,2.23609,0.00108938,0.00108938,0.00108938
37,237.712,1.05569,0.86674,1.31287,0.7548,0.76437,0.77101,0.43945,1.30895,1.02556,1.65342,0.00107288,0.00107288,0.00107288
38,244.243,1.05603,0.88679,1.30803,0.98145,0.7416,0.86623,0.51511,1.58392,0.96452,1.90425,0.00105638,0.00105638,0.00105638
